num_tokens,sequence_lenght,matrix_entropy,last_token_acc
8,32,0.6950118728868828,0.9039166666666666
8,32,0.9553828953983472,0.8510833333333331
8,32,1.2169576285344381,0.8050833333333333
8,32,1.4270211651495002,0.7552500000000001
8,32,1.6295172845278243,0.7096666666666667
8,32,1.819099454835401,0.6537916666666667
8,32,0.6880935898218898,0.9089999999999999
8,32,0.9774013684962428,0.8530416666666666
8,32,1.2203332307342607,0.8057916666666668
8,32,1.4327162481693714,0.7577500000000001
8,32,1.6299842309991495,0.7032916666666665
8,32,1.7906718461283448,0.6531666666666668
16,64,0.797220425662921,0.9076666666666666
16,64,1.114350521900703,0.8557916666666667
16,64,1.4252118463231307,0.8037916666666667
16,64,1.6939439113594228,0.7551249999999999
16,64,1.9413982174030577,0.70725
16,64,2.1945923370598743,0.649
16,64,0.7886224940975314,0.9035833333333333
16,64,1.1297684787163118,0.85325
16,64,1.424309184911214,0.8059166666666667
16,64,1.7013516997633507,0.7548333333333334
16,64,1.955242331687863,0.7062083333333334
16,64,2.1758126348942834,0.6596666666666667
